year,plot_id,planting_site,original_region,rep,row,column,directionheading,num_leaves_july2019,bolting_july2019,mortality_july2019,vigor_july2019,growth_stage_july2019,avgL_1_july2019,avgW_1_july2019,avgL_2_july2019,avgW_2_july2019,avgL_3_july2019,avgW_3_july2019,leafthickness1_july2019,leafthickness2_july2019,leafthickness3_july2019,PSLESEV_july2019,PSSTSEV_july2019,PSLERES_july2019,BLLEBLSEV_july2019,PHSTSEV_july2019,CVLESEV_july2019,herbdamage_1_july2019,herbpercjuly2019,MOCRLE_july2019,MOTTLE_july2019,bolting_sept2019,mortality_sept2019,vigor_sept2019,growth_stage_sept2019,PSLESEV_sept2019,PSLERES_sept2019,avg_PSLERES_sept2019,PSSTSEV_sept2019,BLLEBLSEV_sept2019,PHSTSEV_sept2019,CLVESEV_sept2019,DM_sept2019
2019,C2_SIL,c,c,1,1,4,N,4,0,0,3,1.1,12,4,12,4,12,4,0.642,0.57,0.576,0,0,0,0,0,0,6,50,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,W3_SIL,c,w,1,2,1,S,3,0,1,3,0.9,8,3,7,3,8,3,0.535,0.56,0.54,0,0,0,3,0,0,2,50,NA,NA,0,1,4,1.4,0,0,0,0,0.1,0,0,0
2019,C4_SIL,c,c,1,3,2,N,4,0,1,3,1.1,11,4,9,4,12,4,0.743,0.631,0.684,0,0,0,0,0,0,6,50,NA,NA,0,1,6,1.6,0,0,0,0,0,0,0,0
2019,W2_SIL,c,w,1,3,3,S,3,0,0,2,0.7,8,3,9,2,8,3,0.601,0.623,0.651,0,0,0,2,0,0,2,20,NA,NA,0,0,3,1.3,0,0,0,0,0.01,0,0,0
2019,E1_SIL,c,e,1,4,2,N,4,0,0,3,0.9,10,3,8,2,9,2,0.604,0.573,0.598,0,0,0,0,0,0,3,10,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,C1_SIL,c,c,1,5,2,N,4,0,0,3,0.9,8,3,8,3,5,3,0.697,0.661,0.667,0,0,0,0,0,0,5,40,NA,NA,0,1,4,1.4,0,0,0,0,0,0,0,0
2019,W1_SIL,c,w,1,6,2,N,3,0,0,2,0.7,8,3,8,2,7,3,0.622,0.72,0.67,0,0,0,10,0,0,3,30,NA,NA,0,0,3,1.3,0,0,0,0,0,0,0,0
2019,E2_SIL,c,e,1,7,3,S,3,0,0,3,1.1,9,3,9,4,10,3,0.587,0.64,0.636,0,0,0,0,0,0,1,10,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,W4_SIL,c,w,1,9,1,S,4,0,0,2,0.9,8,3,6,2,7,2,0.755,0.545,0.5,0,0,0,0,0,0,2,50,NA,NA,0,0,4,1.4,0,0,0,0,0,0,0,0
2019,E3_SIL,c,e,1,9,3,S,5,0,1,3,1.1,7,2,10,3,11,3,0.58,0.568,0.586,0,0,0,1,0,0,6,30,NA,NA,0,1,5,1.5,0,0,0,0,0,0,0,0
2019,E4_SIL,c,e,1,9,4,N,3,0,0,3,1.1,7,3,8,2,8,3,0.661,0.696,0.621,0,0,0,0,0,0,1,10,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,C3_SIL,c,c,1,11,2,N,5,0,0,3,0.9,12,4,13,4,10,4,0.513,0.465,0.511,0,0,0,0,0,0,1,10,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,C2_SIL,c,c,2,2,5,S,3,0,1,2,0.9,8,3,11,3,10,4,0.592,0.561,0.55,0,0,0,0,0,0,7,20,NA,NA,0,0,4,1.5,0,0,0,0,0,0,0,0
2019,E2_SIL,c,e,2,2,8,N,4,0,0,4,1.1,14,4,14,3,12,4,0.873,0.892,0.886,0,0,0,0,0,0,3,10,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,W4_SIL,c,w,2,3,5,S,3,0,0,2,0.9,6,3,7,3,7,3,0.634,0.602,0.547,0,0,0,0,0,0,4,30,NA,NA,0,0,4,1.3,0,0,0,0,1,0,0,0
