year,UniqueID_dim,Planting_Location,plot_id,source_prairie,species,rep,row,column,directionheading,height_JUL,death_JUL,no_bolting_JUL,grwth_stg_JUL,vigor_JUL,stem_dia_mm_JUL,num_stems_JUL,max_lig_JUL,disc_dia_JUL,pssev_JUL,PSLERES_JUL,STEMPS_JUL,CLV_JUL,notes_JUL,random_num,plant_death,lf_lgth_AU,lf_width_AUG,lf_thcknss_AUG,maxlig_AUG,disc_dia_AUG,num_flwrs_single_stlk_AUG,herb_other_AUG,Floral_herb_AUG,GALLWASP_AUG,leaf_herb_AUG,pssev_AUG,PSLERES_AUG,STEMPS_AUG,lf_blotch_AUG,dis_other_AUG,Notes_AUG,Harv_numheads,Harv_filledsds,Harv_unfilledsds,Harv_sd_wt_g,Harv_Notes
2021,dimST1,west,C2_SIL,C2,SIL,1,1,1,N,135,1,8,3.5,5,6.7,10,,,0,0,0,1,,3,,10.5,5.5,0.988,,,1,ama,,,30,0,0,0,1,,,0,0,0,0,
2021,dimST2,west,C2_SIL,C2,SIL,1,1,1,N,,,,,,8,7,,,5,3,1,1,,5,,9,6.5,0.796,,,3,ama,,,50,,,,,,,0,0,0,0,
2021,dimST3,west,C2_SIL,C2,SIL,1,1,1,N,,,,,,5.9,6,,,0.5,2,0.5,2,,8,,6.5,3,0.799,,10.52,6,ama,60,0,0,,,,,,,5,0,46,0,
2021,dimST4,west,E3_SIL,E3,SIL,1,4,1,N,105,0,9,3.7,5,4.3,21,13,11.9,2,3,0,3,,3,,7.5,3.5,0.955,,,12,ama,40,0,10,,,,,,,5,40,15,0.38,
2021,dimST5,west,E3_SIL,E3,SIL,1,4,1,N,,,,,,4.5,17,,,5,2,5,2,,7,,6.5,3,0.766,12,9.8,10,ama,30,0,10,,,,,,,5,13,35,0.1,
2021,dimST6,west,E3_SIL,E3,SIL,1,4,1,N,,,,,,5.1,19,,,0.5,1,0.1,2,,9,,7.5,3,0.727,,7.94,3,,90,0,10,,,,,,,5,3,41,0.03,
2021,dimST7,west,W1_SIL,W1,SIL,1,5,1,N,120,0,9,4.3,4,6.5,16,13,10.8,5,4,2,1,,1,,8,4,0.76,,,6,,100,0,30,10,2,5,15,,,5,28,50,0.55,
2021,dimST8,west,W1_SIL,W1,SIL,1,5,1,N,,,,,,5.5,8,16,13.7,2,3,2,7,,2,,6.5,2.5,1.074,,,3,,90,0,40,5,2,2,5,,,0,0,0,0,
2021,dimST9,west,W1_SIL,W1,SIL,1,5,1,N,,,,,,9.54,9,,,10,2,2,5,,6,,9,3.5,1.14,na,na,2,ama,100,0,50,10,2,5,10,,,1,0,10,0,
2021,dimST10,west,W4_SIL,W4,SIL,1,7,1,N,130,1,8,3.7,5,4.2,3,,,20,3,5,6,,2,,10,2.5,1.386,,,0,ama,,,100,10,2,10,30,,,0,0,0,0,
2021,dimST11,west,W4_SIL,W4,SIL,1,7,1,N,,,,,,6,8,,,10,3,2,8,,5,,6,2,1.2,,11.11,2,ama,50,0,50,5,2,5,2,,,0,0,0,0,
2021,dimST12,west,W4_SIL,W4,SIL,1,7,1,N,,,,,,5.3,6,,,2,2,1,1,,8,,11,6,0.96,22,14.88,13,,100,0,60,15,3,2,15,,,5,1,72,0.01,
2021,dimST13,west,W3_SIL,W3,SIL,1,8,1,N,120,1,8,4.5,5,4.5,7,20,11.2,1,2,2,9,,3,,7,2,0.783,,,3,,70,0,30,10,2,10,10,,,4,4,47,0.05,
2021,dimST14,west,W3_SIL,W3,SIL,1,8,1,N,,,,,,4.7,10,16,13.7,0.5,2,2,7,,4,,9,1.5,0.86,,,1,,100,0,50,15,2,10,20,,,1,2,10,0.02,
2021,dimST15,west,W3_SIL,W3,SIL,1,8,1,N,,,,,,4.6,12,21,20.4,2,2,5,8,,6,,8.5,3,0.955,,,2,ama,100,0,80,2,2,2,15,,,4,26,44,0.33,
2021,dimST16,west,W2_SIL,W2,SIL,1,12,1,N,110,1,8,3.7,4,5.3,7,,,1,2,1,6,,5,,8,2,1.25,,,1,ama,,,30,2,2,2,35,,,3,0,43,0,
2021,dimST17,west,W2_SIL,W2,SIL,1,12,1,N,,,,,,3.4,7,,,1,3,1,7,,7,,6,1.5,1.117,,,0,ama,,,80,2,2,2,30,,,0,0,0,0,
2021,dimST18,west,W2_SIL,W2,SIL,1,12,1,N,,,,,,4,8,,18.3,1,2,2,7,,8,,7.5,2.5,0.92,,,1,ama,100,0,30,5,2,5,50,,,3,0,61,0,
2021,dimST19,west,E4_SIL,E4,SIL,1,11,2,S,105,1,8,3.7,6,3.9,27,,,0.5,2,0.5,2,,2,,7,2.5,0.955,,,1,ama,90,0,20,5,2,10,35,,,0,0,0,0,
2021,dimST20,west,E4_SIL,E4,SIL,1,11,2,S,,,,,,4.8,22,14,12.8,0.5,2,0.1,2,,4,,9,4.5,0.846,,,1,,70,0,20,1,2,0.5,15,,,5,21,37,0.14,
2021,dimST21,west,E4_SIL,E4,SIL,1,11,2,S,,,,,,3.6,13,,,2,2,5,2,,6,,8,3,0.838,,,2,,50,0,30,10,2,15,20,,,2,0,24,0,
2021,dimST22,west,C3_SIL,C3,SIL,1,10,2,S,125,1,8,3.5,6,6,4,17,13.5,0.5,2,2,2,,2,,10,4,1.15,,,8,,20,0,20,1,2,5,5,,,5,32,63,0.27,
2021,dimST23,west,C3_SIL,C3,SIL,1,10,2,S,,,,,,1.7,1,,,0,0,0,1,,4,,6.5,2,0.556,,,0,ama,,,100,0,0,0,50,,,0,0,0,0,
2021,dimST24,west,C3_SIL,C3,SIL,1,10,2,S,,,,,,6.2,10,,,0.5,2,2,2,,7,,6,4,0.927,,8.64,8,,50,0,20,2,2,15,25,,,5,30,41,0.27,
2021,dimST25,west,C1_SIL,C1,SIL,1,1,3,N,120,1,8,5.1,5,4.5,15,,,5,4,5,3,,1,,11.5,3.5,0.937,,,1,ama,100,0,80,15,2,20,25,,,3,12,47,0.17,
2021,dimST26,west,C1_SIL,C1,SIL,1,1,3,N,,,,,,5.9,14,,14.8,1,2,1,7,,2,,9.5,4,0.976,,,1,,100,0,60,5,2,5,30,,,1,2,7,0.04,
